C,Penalty,Loss,Precision,Recall,F1 Score,Training Time,Prediction Time,Accuracy
0.025,l1,,0.8124546114742193,0.8880730303631673,0.8485825353181,0.31781625747680664,0.0008509159088134766,0.8403
0.026,l1,,0.8139661756683033,0.8882714824369915,0.8494970582653255,0.3432800769805908,0.0009210109710693359,0.8414
0.027,l1,,0.8157463094587206,0.8882714824369915,0.850465513965419,0.3188951015472412,0.0008351802825927734,0.8426
0.028,l1,,0.8167883211678832,0.8882714824369915,0.8510314668694743,0.24461102485656738,0.0008761882781982422,0.8433
0.029,l1,,0.817650283208478,0.8880730303631673,0.8514079147640791,0.3087289333343506,0.0008094310760498047,0.8438
0.03,l1,,0.8183811437968208,0.8888668386584639,0.8521689497716894,0.35028505325317383,0.0009131431579589844,0.8446
0.031,l1,,0.8198643943558732,0.8878745782893431,0.852515243902439,0.3015017509460449,0.0008246898651123047,0.8452
0.032,l1,,0.8206631251144898,0.8890652907322881,0.8534959039817107,0.3324708938598633,0.0008690357208251953,0.8462
0.033,l1,,0.8224830368604438,0.890057551101409,0.8549370949294701,0.3215141296386719,0.0009241104125976562,0.8478
0.034,l1,,0.8235078053259871,0.8898590990275849,0.8553987027851965,0.3596937656402588,0.0007979869842529297,0.8484
0.035,l1,,0.8246419390378259,0.891248263544354,0.8566523605150215,0.3879518508911133,0.0008690357208251953,0.8497
0.036,l1,,0.8253676470588235,0.8910498114705299,0.8569519992365683,0.3368840217590332,0.0007719993591308594,0.8501
0.037,l1,,0.8262867647058824,0.8920420718396507,0.8579062887680122,0.31531500816345215,0.0008292198181152344,0.8511
0.038,l1,,0.8283348666053358,0.89343123635642,0.8596524727897652,0.334277868270874,0.0008392333984375,0.853
0.039,l1,,0.829313201988584,0.8938281405040682,0.8603629417382999,0.3538990020751953,0.0008060932159423828,0.8538
0.04,l1,,0.83069270449521,0.8948204008731891,0.8615649183147034,0.3982059955596924,0.0007939338684082031,0.8551
0.041,l1,,0.8325950535252861,0.8952173050208375,0.8627713493353735,0.3937699794769287,0.0008373260498046875,0.8565
0.042,l1,,0.8337643147395641,0.89581266124231,0.8636754998565005,0.40371203422546387,0.0008530616760253906,0.8575
0.043,l1,,0.8343501571454982,0.8956142091684858,0.8638973966309341,0.3990650177001953,0.0008161067962646484,0.8578
0.044,l1,,0.8354289940828402,0.8966064695376067,0.8649373025749019,0.40886974334716797,0.0008339881896972656,0.8589
0.045,l1,,0.8369726128793487,0.8975987299067275,0.866226180216413,0.3779788017272949,0.0007910728454589844,0.8603
0.046,l1,,0.8378378378378378,0.8981940861282001,0.8669667656354755,0.4656188488006592,0.0008411407470703125,0.8611
0.047,l1,,0.8381535038932146,0.8972018257590791,0.8666730566471773,0.4615046977996826,0.0008552074432373047,0.8609
0.048,l1,,0.8394282532021533,0.8974002778329033,0.8674467676961443,0.4692232608795166,0.0008451938629150391,0.8618
0.049,l1,,0.8404017857142857,0.8966064695376067,0.8675948151704274,0.37999796867370605,0.0008471012115478516,0.8621
0.05,l1,,0.8417520969245107,0.8962095653899583,0.8681276432141485,0.4430251121520996,0.0008418560028076172,0.8628
0.051,l1,,0.8424095486758673,0.8964080174637825,0.868570329775983,0.37580108642578125,0.0007958412170410156,0.8633
0.052,l1,,0.8431555389779933,0.8972018257590791,0.8693394865878281,0.48388195037841797,0.0008490085601806641,0.8641
0.053,l1,,0.8442286141202839,0.897003373685255,0.8698162224574233,0.49077701568603516,0.0008208751678466797,0.8647
0.054,l1,,0.8443572496263079,0.8968049216114309,0.8697911654316235,0.5053796768188477,0.0008249282836914062,0.8647
0.055,l1,,0.8447599476928825,0.8974002778329033,0.8702848344880678,0.47768092155456543,0.0008299350738525391,0.8652
0.056,l1,,0.8447471543198358,0.8983925382020242,0.8707443739180611,0.544029951095581,0.0008442401885986328,0.8656
0.057,l1,,0.8465133669844831,0.8985909902758484,0.8717751251443974,0.42365264892578125,0.0007879734039306641,0.8668
0.058,l1,,0.8473910604077053,0.8991863464973209,0.8725207009435779,0.48554396629333496,0.0008330345153808594,0.8676
0.059,l1,,0.8478220228080015,0.8999801547926176,0.8731228340392759,0.5612070560455322,0.0007889270782470703,0.8682
0.06,l1,,0.8488872264821395,0.9007739630879142,0.8740612362796072,0.5242030620574951,0.0007998943328857422,0.8692
0.061,l1,,0.8491024682124159,0.9011708672355626,0.8743621834986041,0.5847198963165283,0.0009059906005859375,0.8695
0.062,l1,,0.8494482887600524,0.9013693193093868,0.8746389370306181,0.5940921306610107,0.0007700920104980469,0.8698
0.063,l1,,0.8497846038584005,0.9003770589402659,0.8743495856619772,0.5676038265228271,0.0008389949798583984,0.8696
0.064,l1,,0.8499719048510957,0.9005755110140901,0.8745423010213913,0.5940921306610107,0.0008378028869628906,0.8698
0.065,l1,,0.8502343017806935,0.9001786068664418,0.8744939271255061,0.6292290687561035,0.0007681846618652344,0.8698
0.066,l1,,0.850018747656543,0.8997817027187934,0.8741926154439411,0.6308870315551758,0.0008111000061035156,0.8695
0.067,l1,,0.849887556221889,0.8999801547926176,0.8742168674698796,0.5598828792572021,0.0008482933044433594,0.8695
0.068,l1,,0.8498594189315839,0.8997817027187934,0.8741083477925583,0.6554949283599854,0.0007770061492919922,0.8694
0.069,l1,,0.8501781361335083,0.8997817027187934,0.8742768993443887,0.5659158229827881,0.0007920265197753906,0.8696
0.07,l1,,0.8507686539182602,0.9005755110140901,0.8749638484527138,0.5550761222839355,0.0008168220520019531,0.8703
0.071,l1,,0.8516225848808854,0.9009724151617384,0.875602700096432,0.675485372543335,0.0007889270782470703,0.871
0.072,l1,,0.8520465640255351,0.9005755110140901,0.8756391702846117,0.5698859691619873,0.0007770061492919922,0.8711
0.073,l1,,0.8525821596244132,0.9009724151617384,0.8761096101891162,0.6656849384307861,0.0008370876312255859,0.8716
